PID---, CID-, ToF, TfF, CLT----, CIT----, ToT----, TfT----, CWI----, TrT----, SvT----, SvS-----
21,    1,  10,   1,   352.9,     5.7,   444.2,   506.8,    91.3,    62.6,   153.9, 09.SVCP
22,    1,   5,   1,   363.9,    10.9,   476.2,   508.4,   112.3,    32.2,   144.5, 09.SVCP
23,    1,   1,   2,   390.5,    26.6,   510.0,   526.6,   119.5,    16.6,   136.1, 09.SVCP
24,    1,   1,   3,   390.7,     0.2,   510.8,   540.0,   120.1,    29.1,   149.3, 09.SVCP
25,    1,   1,   7,   398.9,     8.2,   511.6,   581.6,   112.7,    70.0,   182.7, 09.SVCP
26,    1,   1,   4,   430.2,    31.3,   512.4,   553.3,    82.2,    40.9,   123.1, 09.SVCP
27,    1,   8,   1,   448.5,    18.3,   459.0,   507.6,    10.5,    48.6,    59.1, 09.SVCP
28,    1,   1,   5,   453.5,     5.0,   513.2,   566.7,    59.7,    53.5,   113.2, 09.SVCP
29,    1,   9,   1,   468.1,    14.6,   711.8,   775.4,   243.7,    63.5,   307.3, 09.SVCP
30,    1,   4,   1,   470.9,     2.8,   489.6,   509.2,    18.7,    19.6,    38.3, 09.SVCP
31,    1,   7,   1,   494.2,    23.3,   582.4,   640.5,    88.2,    58.1,   146.3, 09.SVCP
32,    1,   3,   1,   520.5,    26.3,   612.9,   642.1,    92.4,    29.1,   121.6, 09.SVCP
33,    1,   4,   1,   523.9,     3.4,   599.6,   641.3,    75.7,    41.7,   117.4, 09.SVCP
34,    1,  10,   1,   530.6,     6.6,   698.5,   774.6,   167.9,    76.1,   244.0, 09.SVCP
35,    1,   1,   3,   536.8,     6.2,   644.5,   660.9,   107.7,    16.5,   124.1, 09.SVCP
36,    1,   2,   1,   556.0,    19.2,   626.3,   642.9,    70.3,    16.6,    86.9, 09.SVCP
37,    1,   1,  10,   578.4,    22.4,   645.3,   697.7,    66.9,    52.4,   119.3, 09.SVCP
38,    1,   2,   1,   606.4,    28.0,   627.1,   643.7,    20.7,    16.6,    37.3, 09.SVCP
39,    1,   5,   1,   606.7,     0.3,   754.3,   778.6,   147.6,    24.3,   171.9, 09.SVCP
40,    1,   1,   8,   638.2,    31.5,   646.1,   682.8,     7.9,    36.7,    44.6, 09.SVCP
41,    1,   9,   1,   639.5,     1.3,   712.6,   776.2,    73.1,    63.5,   136.7, 09.SVCP
42,    1,   7,   1,   646.5,     7.0,   739.4,   777.8,    92.9,    38.4,   131.3, 09.SVCP
43,    1,   1,   8,   652.4,     5.9,   780.2,   830.3,   127.8,    50.1,   177.9, 09.SVCP
44,    1,   8,   1,   656.3,     4.0,   726.0,   777.0,    69.7,    51.0,   120.7, 09.SVCP
45,    1,   5,   1,   657.0,     0.6,   755.1,   779.4,    98.1,    24.3,   122.4, 09.SVCP
46,    1,   1,   5,   682.7,    25.8,   781.0,   813.1,    98.3,    32.1,   130.4, 09.SVCP
47,    1,   1,  10,   740.8,    58.0,   781.8,   857.1,    41.0,    75.3,   116.3, 09.SVCP
