Now----, Next---, Cage, LocalTime--, Pos, hw---------, Dep, Arr, SD, Clt--------, Ton, Tof, Hc-
06.RSUB, 07.RSUM,    1, 1.28259e+02,   7, 2.40125e+01,   8,   5, UD, 1.28259e+02,   0,   0,   0
07.RSUM, 08.RSUC,    1, 1.29809e+02,   7, 2.25500e+01,   8,   5, UD, 1.29809e+02,   0,   0,   0
08.RSUC, 09.RCOB,    1, 1.29809e+02,   7, 2.25500e+01,   8,   5, UD, 1.29809e+02,   0,   0,   0
09.RCOB, 10.RCOM,    1, 1.32009e+02,   6, 1.92500e+01,   8,   5, UD, 1.32009e+02,   0,   0,   0
10.RCOM, 05.RTSR,    1, 1.34209e+02,   5, 1.59500e+01,   8,   5, LD, 1.34209e+02,   0,   0,   0
05.RTSR, 11.RCOC,    1, 1.34209e+02,   5, 1.59500e+01,   8,   5, LD, 1.34209e+02,   0,   0,   0
11.RCOC, 12.RSDB,    1, 1.34209e+02,   5, 1.59500e+01,   8,   5, LD, 1.34209e+02,   0,   0,   0
12.RSDB, 13.RSDM,    1, 1.34209e+02,   5, 1.44875e+01,   8,   5, LD, 1.34209e+02,   0,   0,   0
13.RSDM, 14.RSDC,    1, 1.37309e+02,   5, 1.40000e+01,   8,   5, LD, 1.37309e+02,   0,   0,   0
14.RSDC, 15.RSTB,    1, 1.37309e+02,   5, 1.40000e+01,   8,   5, LD, 1.37309e+02,   0,   0,   0
15.RSTB, 16.RSTM,    1, 1.37309e+02,   5, 1.40000e+01,   8,   5, LD, 1.37309e+02,   0,   0,   0
16.RSTM, 17.DOPB,    1, 1.37309e+02,   5, 1.40000e+01,   8,   5, LD, 1.37309e+02,   0,   0,   0
17.DOPB, 18.DOPM,    1, 1.38359e+02,   5, 1.40000e+01,   8,   5, LD, 1.38359e+02,   0,   0,   0
18.DOPM, 19.DOPC,    1, 1.39409e+02,   5, 1.40000e+01,   8,   5, LD, 1.39409e+02,   0,   0,   0
19.DOPC, 20.TOFP,    1, 1.39409e+02,   5, 1.40000e+01,   8,   5, LD, 1.39409e+02,   0,   0,   0
20.TOFP, 24.TONP,    1, 1.39409e+02,   5, 1.40000e+01,   8,   5, LD, 1.39409e+02,   0,   0,   0
24.TONP, 25.TONB,    1, 1.39409e+02,   5, 1.40000e+01,   8,   5, LD, 1.39409e+02,   0,   0,   0
25.TONB, 26.TONM,    1, 1.39409e+02,   5, 1.40000e+01,   8,   5, LD, 1.39409e+02,   0,   0,   0
26.TONM, 27.TONC,    1, 1.40209e+02,   5, 1.40000e+01,   8,   5, LD, 1.40209e+02,   1,   0,   1
