 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.09471e+02, Hc=   4
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.09471e+02, Hc=   4
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.09471e+02, Hc=   4
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.09471e+02, Hc=   4
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.692817	 Cycle=   2	Pos=   1, hw=4.37500e-01, Dep=   1, Arr=   2, Dir=LU, Clt=1.11164e+02, Hc=   4
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.692817	 Cycle=   2	Pos=   1, hw=1.75000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.12857e+02, Hc=   4
 NowState :   Stat: 08.RSUC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=1.75000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.12857e+02, Hc=   4
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=3.06250e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.12857e+02, Hc=   4
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.385633	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.16243e+02, Hc=   4
 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.16243e+02, Hc=   4
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.16243e+02, Hc=   4
