 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.30379e+01, Hc=   1
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.30379e+01, Hc=   1
 NowState :   Stat: 20.TOFP, NowState :   Stat: 21.TOFB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.30379e+01, Hc=   1
 NowState :   Stat: 21.TOFB, NowState :   Stat: 22.TOFM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.30379e+01, Hc=   1
 NowState :   Stat: 22.TOFM, NowState :   Stat: 23.TOFC, itv      : 0.800000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.38379e+01, Hc=   0
 NowState :   Stat: 23.TOFC, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.38379e+01, Hc=   0
 NowState :   Stat: 24.TONP, NowState :   Stat: 25.TONB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.38379e+01, Hc=   0
 NowState :   Stat: 25.TONB, NowState :   Stat: 26.TONM, itv      : 0.800000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.46379e+01, Hc=   1
 NowState :   Stat: 26.TONM, NowState :   Stat: 27.TONC, itv      : 0.800000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.54379e+01, Hc=   2
 NowState :   Stat: 27.TONC, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.54379e+01, Hc=   2
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.72879e+01, Hc=   2
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.91379e+01, Hc=   2
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.91379e+01, Hc=   2
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.91379e+01, Hc=   2
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=8.91379e+01, Hc=   2
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.692817	 Cycle=   2	Pos=   1, hw=4.37500e-01, Dep=   1, Arr=   2, Dir=LU, Clt=9.08308e+01, Hc=   2
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.692817	 Cycle=   2	Pos=   1, hw=1.75000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.25236e+01, Hc=   2
 NowState :   Stat: 08.RSUC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=1.75000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.25236e+01, Hc=   2
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=3.06250e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.25236e+01, Hc=   2
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.385633	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.59092e+01, Hc=   2
 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.59092e+01, Hc=   2
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.59092e+01, Hc=   2
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.59092e+01, Hc=   2
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.69592e+01, Hc=   2
 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.80092e+01, Hc=   2
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.80092e+01, Hc=   2
