 PID---, CID-, ToF, TfF, CLT----, CIT----, ToT----, TfT----, CWI----, TrT----, SvT----, SvS-----
    100,    2,   1,   9,  1575.0,     0.9,  1648.6,  1713.0,    73.6,    64.3,   138.0, 09.SVCP

    101,    2,   9,   1,  1588.1,    13.1,  1591.3,  1643.8,     3.2,    52.5,    55.7, 09.SVCP

    102,    2,   4,   1,  1591.8,     3.7,  1613.2,  1644.6,    21.4,    31.4,    52.8, 09.SVCP

    103,    2,   1,   5,  1631.2,    39.4,  1649.4,  1669.8,    18.2,    20.3,    38.6, 09.SVCP

    104,    2,   1,   6,  1643.8,    12.6,  1650.2,  1683.9,     6.4,    33.7,    40.1, 09.SVCP

    105,    2,   5,   1,  1666.8,    22.9,  1670.6,  1768.5,     3.8,    98.0,   101.7, 09.SVCP

    106,    2,   3,   1,  1687.7,    20.9,  1753.7,  1770.1,    66.0,    16.5,    82.4, 09.SVCP

    107,    2,  10,   1,  1719.8,    32.2,  1727.1,  1769.3,     7.3,    42.2,    49.5, 09.SVCP

    108,    0,   6,   1,  1732.3,    12.5,     0.0,     0.0, -1732.3,     0.0, -1732.3, 03.SVCW

    109,    2,   1,   2,  1736.0,     3.7,  1770.9,  1785.1,    34.9,    14.2,    49.1, 09.SVCP

    110,    2,   1,   4,  1737.0,     1.0,  1771.7,  1800.0,    34.7,    28.2,    63.0, 08.SVTF

    111,    0,  10,   1,  1785.5,    48.5,     0.0,     0.0, -1785.5,     0.0, -1785.5, 03.SVCW

    112,    0,   1,   2,  1789.2,     3.7,     0.0,     0.0, -1789.2,     0.0, -1789.2, 03.SVCW

